"What (City, State) are you located in?",What's your highest level of education?,Department,How's the employee turnover?,How many years of experience do you have?,What is/was your length of orientation/training?,What is the Nurse - Patient Ratio?,What is your hourly rate ($/hr)?,What's Your Shift Length?,Which Shift?,Other,Full-Time/Part-Time?,"Do you have any special skills that set you apart from other nurses? (examples: CCRN, CNOR, Special Procedures, etc.)",Would you recommend your department to another nurse?,How did you hear about Project Nurse?,Start Date (UTC),Submit Date (UTC)
"Kansas City, MO",Associates,Nephrology/Metabolic Unit,Medium,Less than a year - 7 months,6 weeks,1:5 on my unit,$23.04/hr plus $3/hr shift differential for nights and $2/hr differential for weekends,12-Hour,Night Shift,,Full-Time,None,Yes,None,3/15/17 18:46,3/15/17 18:51
"Kansas City, MO",Bachelors,Med onc,High,8,6 weeks,6-May,29.15/hr,12-Hour,Day Shift,,Full-Time,ONS,Yes,,3/15/17 18:48,3/15/17 18:52
"Kansas City, MO",Associates,Skilled Nursing,High,4,3 days,1:35,23.50/hour,8-Hour,Day Shift,,Full-Time,no,No,No,3/15/17 18:57,3/15/17 19:00
"Kansas City, Ks",Bachelors,ER,Medium,6,3 months,3:01,$27/hr before diff,12-Hour,Night Shift,,Full-Time,None,Yes,,3/15/17 18:57,3/15/17 19:02
"Wichita, KS",Bachelors,BirthCare Center,Low,14,10 weeks,Labor 1:1; postpartum 3:1,$26.25 ,12-Hour,Day Shift,,Full-Time,No,Yes,nope,3/15/17 19:00,3/15/17 19:03
"Olathe, KS",Bachelors,Women's health,Medium,4,9 days,5:01,26/hr,12-Hour,Day Shift,,Full-Time,"NRP STABLEBreastfeeding certified",No,,3/15/17 19:00,3/15/17 19:03
"Wichita, KS",Associates,ICU,High,2,12 weeks,1:1-1:3,$20.25 ,12-Hour,Day Shift,,Full-Time,,Yes,,3/15/17 19:01,3/15/17 19:04
"Overland Park, KS",Tech,Nursing ,High,19,,28-Dec,$26 ,,Mid Shift,,Full-Time,,Yes,,3/15/17 19:03,3/15/17 19:07
"Wichita, KS",Bachelors,LDRP,Low,5.5,12 weeks,1:1 for labor 1:4/1:3 for post partum ,$22.98 ,12-Hour,Day Shift,,Full-Time,On several hospital organizations ,Yes,,3/15/17 19:03,3/15/17 19:08
"Wichita, KS",Bachelors,Birthing Center,Medium,16,12 weeks,Varies 1-10,$26.10/hr,12-Hour,Day Shift,,Part-Time,"NRP CPRACLSFETAL MONITORING ",Yes,,3/15/17 19:02,3/15/17 19:08
"Liberty, MO",Bachelors,Emergency Department,Medium,5,6 months,1 to 3 or 4,$30 ,12-Hour,Mid Shift,,Per-Diem,,Yes,,3/15/17 19:05,3/15/17 19:10
"Kansas City, Kansas",Bachelors,Medical/Surgical,High,7,2 weeks,5,29,12-Hour,Day Shift,,Part-Time,,Yes,No,3/15/17 19:06,3/15/17 19:10
"Kansas city, Missouri ",Bachelors,ICU ,Medium,1,None,2:01,82000,,Day Shift,,Full-Time,Ccrn,Yes,No,3/15/17 19:07,3/15/17 19:13
"Wichita, ks",Bachelors,Birth care center ,Low,11,6 weeks,3-4 couples or 1 labor patient,26.51,12-Hour,Day Shift,,Full-Time,Relief charge nurse ,Yes,,3/15/17 19:02,3/15/17 19:14
"Wichita, KS ",Bachelors,Mother baby ,Low,9,2-3 months,8,$24.61 ,,,7a-3p & 3a-3p,Part-Time,No,Yes,,3/15/17 19:14,3/15/17 19:18
"Kansas city, Mo",Associates,Med/surg,High,4,6 weeks,1:6-8,$22.53 ,12-Hour,Night Shift,,Full-Time,,No,,3/15/17 19:11,3/15/17 19:20
"Kansas City, MO",Associates,3 North,Medium,7,6 weeks (18 weeks if new grad),"1:4-5 (day shift, have had 6 patients in a pinch)",$29/hr,12-Hour,Day Shift,,Part-Time,PCCN,No,,3/15/17 19:23,3/15/17 19:30
"Wichita, KS",Associates,Trauma/Medical,High,9,6 weeks,1:06,$24.91/hour,12-Hour,Day Shift,,Part-Time,CMSRN,Yes,,3/15/17 19:29,3/15/17 19:35
"Wichita, KS",Bachelors,MICU,High,4,12 weeks,2-3:1,$20.40 ,12-Hour,,,Full-Time,"I am fluent in French, which makes it really easy for me to understand Spanish.  ",Yes,"The biggest complaint I have about my hospital has more to do with upper management and HCA as a whole. They pay us terribly. I took a $6000/year pay cut coming from another hospital in KS and after having worked here for 3 years am still not up to what I was making as a new grad. Additionally, we use a version of Meditech which is extremely outdated. They keep saying ""we're going to 'update',"" but the version we are using was made in 1985 and they just keep adding code to it to make it fit the charting requirements set by JAHCO. This means who ever is doing the code will be the one to decide how we have to chart. For example, on 'yes or no' questions, to answer 'yes' on some question it's 'y', others '1', and still others it's '0'. There is no standard answer, we can't free text everything we need. We spend hours working on our charting. It's incredibly glitchy. And upper management does NOTHING to fix the problem. They won't give us a more competitive salary because the ""market"" (which is only the other hospitals in Wichita) says we are being paid well (but we haven't gotten a cost of living raise in a few years, even though cost of living has been increasing). They won't fix our computers. We aren't stocked well. And they wonder why people are leaving in droves.",3/15/17 19:14,3/15/17 19:37
"Lees Summit, MO",Bachelors,Neuroscience ,High,5,4 weeks,5-6:1 ,28.85/hr,12-Hour,Night Shift,,Full-Time,CNRN,No,"Constantly hearing about budget cuts, but we're creating upper admin positions ",3/15/17 19:26,3/15/17 19:38
"Shawnee mission, ks",Bachelors,Heart/Neurovascular Unit,High,3,6 weeks,4:1 days 5:1 nights ,26.69,12-Hour,Night Shift,,Full-Time,Charge nurse ,Yes,,3/15/17 19:35,3/15/17 19:40
"Kansas City, MO ",Bachelors,Urology/Nephrolog,Medium,14,3 months,4-5 to 1 nurse,$32 ,12-Hour,Day Shift,,Part-Time,,Yes,,3/15/17 19:35,3/15/17 19:42
"Kansas City, MO",Bachelors,N/A,Low,2,2 months ,N/A,"68,000/year",8-Hour,Day Shift,,Full-Time,N/A,Yes,No,3/15/17 19:39,3/15/17 19:42
"Kansas city, ks",Bachelors,Med tele,Medium,7,3 weeks,1:3-4,27.5,12-Hour,Day Shift,,Full-Time,Pccn cert,Yes,Glad I have a union to support me,3/15/17 19:35,3/15/17 19:43
"Olathe, KS",Associates,,Medium,0,6-12 weeks,Outpatient x30/day or 4-6 to each nurse,"23.75, new grad",12-Hour,Night Shift,,Full-Time,,No,,3/15/17 19:41,3/15/17 19:45
"Kansas City, MO",Bachelors,Critical Care,Medium,3,12 weeks ,2:01,28.00/HR,12-Hour,Night Shift,,Full-Time,TNCC,Yes,Nope,3/15/17 19:42,3/15/17 19:45
"Lees Summit, MO",Bachelors,Cardiology,Low,11,<4 weeks,outpatient up to 25/day,$31/hour,8-Hour,Day Shift,,Full-Time,,Yes,none,3/15/17 19:42,3/15/17 19:45
"Kansas City, MO",Bachelors,CVRU,Medium,8,6 weeks,1:04,29.20/hr,12-Hour,Day Shift,,Full-Time,,Yes,,3/15/17 19:44,3/15/17 19:48
"Kansas city, MO",Associates,Oncology ,Medium,22,6 wks,10-Jul,"65,000/year",10-Hour,Day Shift,,Full-Time,CRNI ,Yes,Some have flexible schedules,3/15/17 19:45,3/15/17 19:49
"Wichita, KS",Associates,Preop post op,Medium,15,6 weeks,5,31.4,8-Hour,Day Shift,,Full-Time,,Yes,,3/15/17 19:50,3/15/17 19:54
"Walnut Creek, CA",Masters,L&D,Low,34.5,8 weeks,1:2 or 1:1,99.5 per diem,8-Hour,Day Shift,,Per-Diem,RNC-HROB,Yes,No,3/15/17 19:49,3/15/17 19:54
"Kansas City,mo",Associates,Pcu,Medium,1,12 weeks,3:01,$28 ,12-Hour,Day Shift,,Full-Time,Acls ,Yes,,3/15/17 19:52,3/15/17 19:56
"Kansas city, ks",Masters,Trauma,Low,11,Na,Na,Undisclosed ,,Day Shift,,Full-Time,Yes,Yes,Ni,3/15/17 19:53,3/15/17 19:56
"Santa CRUZ, CA",Bachelors,"Labor and Delivery, NICU, post partum",High,27,2 weeks to 2 months,"2:1 LD, post partum 1:8",Last per diem job $84/hour,8-Hour,Mid Shift,,Per-Diem,"LD, NICU level 2 ( level 3 trained ), postpartum",No,"Computer work takes so much time away. We were putting in the standardized doctors orders, discontinuing orders.",3/15/17 19:40,3/15/17 19:57
"Wichita, KS",Bachelors,Neurosurgery,Medium,11,3 months,N/a,"55,000/year ",10-Hour,Day Shift,,Full-Time,No,Yes,No,3/15/17 19:55,3/15/17 19:59
"Kansas City, MO",Bachelors,ER,High,9,4 months,4:01,30.25,12-Hour,Night Shift,,Full-Time,No,No,No,3/15/17 19:54,3/15/17 19:59
"Wichita, KS",Bachelors,Surgery,Medium,10,6 weeks,1:01,$32/hr,10-Hour,Day Shift,,Full-Time,No,Yes,No,3/15/17 19:58,3/15/17 20:01
"Lees Summit, Mo",Masters,Case Management ,Low,2,6 weeks,1-Dec,80000/year,8-Hour,Day Shift,,Full-Time,CNL,Yes,No,3/15/17 19:57,3/15/17 20:03
"Excelsior Springs, MO",Associates,Psych,High,25,1 week,30 to 1,30,,Day Shift,,Full-Time,Charge,No,No,3/15/17 20:03,3/15/17 20:06
"Overland Park, KS",Bachelors,ICU,Medium,2,6 weeks - but I was already a nurse before I started working there,Usually 2 to 1,$23.05 plus shift differential. About to get a pay raise since that is what I was at as a first year nurse.,12-Hour,Night Shift,,Full-Time,"Not at the moment. I have certifications for ICU, but that doesn't set me apart from ICU nurses.",Yes,,3/15/17 19:53,3/15/17 20:07
"Merriam, Kansas",Bachelors,Apheresis ,Low,22,12,3-Feb,$42.77 ,10-Hour,Day Shift,,Full-Time,CDN,Yes,,3/15/17 20:04,3/15/17 20:09
"Kansas City, Kansas",Bachelors,Emergency Department,Medium,4,8 weeks,1:03,$37/hr,12-Hour,Day Shift,,Per-Diem,,Yes,,3/15/17 20:06,3/15/17 20:10
Kansas city ,Masters,Health information ,Low,3,2 weeks,Na,39,8-Hour,Day Shift,,Full-Time,CCM,Yes,No,3/15/17 20:11,3/15/17 20:15
Overland park ks,Associates,Med/tele ,High,1 1/2,"6weeks rn, 4days charge",1 to 5-7,23.85 hr,12-Hour,Night Shift,,Full-Time,No,No,,3/15/17 20:07,3/15/17 20:15
"Wichita, Ks",Associates,Ortho/Neuro,Medium,6,3 months ,6:01,$23 ,12-Hour,Day Shift,,Full-Time,No ,Yes,No,3/15/17 20:11,3/15/17 20:16
"Kansas city, mo",Associates,Med Surg Float pool,Medium,1,16 weeks,"Depends on floor,census, and staffing where from 4-8",Base pay is $23.78,12-Hour,Night Shift,,Full-Time,Not yet,Yes,,3/15/17 20:15,3/15/17 20:21
"Overland Park, KS",Associates,Same,Medium,17,3 days,40,$42250/year,8-Hour,Day Shift,,Full-Time,No,Yes,,3/15/17 20:31,3/15/17 20:34
"Denver, CO",Bachelors,Occupational Health,Low,3.5,2 weeks ,10-May,34,10-Hour,Day Shift,,Full-Time,Medical Interpreter (Spanish),Yes,None,3/15/17 20:21,3/15/17 20:37
"Wichita, KS",Bachelors,refuse to state,Medium,20,12 weeks,1-2 or 3,$31 ,12-Hour,Day Shift,,Full-Time,,Yes,,3/15/17 20:36,3/15/17 20:39
"Kansas City, Missouri ",Masters,CTSICU,High,31,6 weeks,"1:1, 1:2, or 2:1",$41 ,12-Hour,Day Shift,,Part-Time,"CCRN-CMC, CSC, PALS, ECMO, IABP, CRRT",Yes,No,3/15/17 20:34,3/15/17 20:39
"Lenexa, KS",Bachelors,Family Practice primary care,Medium,2,4 weeks,About 25 patients per clinic day,23.99,8-Hour,Day Shift,,Full-Time,No,Yes,,3/15/17 20:40,3/15/17 20:46
"Derby, ks",Associates,"ED, acute care, and residential",Medium,4,4 weeks,4,22.50 base,12-Hour,Night Shift,,Full-Time,"ACLS, PALS, BLS",Yes,,3/15/17 20:46,3/15/17 20:53
"Kansas City, Mo",Masters,Neurology Research,Low,1,2weeks,Na,35/hour,8-Hour,Day Shift,,Full-Time,Mscn,Yes,,3/15/17 20:52,3/15/17 20:56
"Wichita, KS",Bachelors,NICU,Medium,5,6 weeks,3-Feb,21.6,12-Hour,Day Shift,,Full-Time,No,Yes,,3/15/17 20:52,3/15/17 20:58
"Kansas City, MO",Bachelors,Med Surg,Medium,7 months,6 weeks,6:01,23.75/hr base,12-Hour,Night Shift,,Full-Time,Psych degree,Yes,No,3/15/17 20:55,3/15/17 20:59
"Kansas City, MO",Bachelors,Maternal Child,Medium,4,8 weeks,8,25.51,12-Hour,Day Shift,,Full-Time,"NRP, ACLS",Yes,,3/15/17 20:59,3/15/17 21:02
Kansas City MO,Associates,Oncology/Palliative care/Hospice,High,15,new grad 10 weeks experienced 6 weeks,5 pts to 1 nurse,31.76,12-Hour,Day Shift,,Full-Time,"Preceptor, chemo certification",Yes,Can not keep new grads long. They just don't want to work that hard. Addiction to cells phones and social media a problem,3/15/17 20:56,3/15/17 21:04
Wichita Kansas,Masters,Medical/surgical ,Medium,14,6 weeks,1:05,27,12-Hour,Day Shift,,Full-Time,CMSRN,Yes,,3/15/17 21:02,3/15/17 21:08
"Kansas City, MO",Associates,Floor nurse,High,3,3 weeks,6 to 1,25.60/hr,12-Hour,Night Shift,,Full-Time,No,No,,3/15/17 21:08,3/15/17 21:15
"Kansas City, MO",Bachelors,Critical Care ,Low,1,18 weeks ,4:01,"1,400 bi weekly",12-Hour,Night Shift,,Full-Time,,Yes,,3/15/17 21:18,3/15/17 21:21
"Wichita, ks",Bachelors,Ambulatory infusion center ,Low,9,6 weeks,24,$29 ,12-Hour,Day Shift,,Per-Diem,Chemo & bmt certified ,Yes,,3/15/17 21:23,3/15/17 21:28
"Durham, NC",Bachelors,Maternity Admissions,Low,8,6 weeks,4:01,28.56,12-Hour,Day Shift,,Full-Time,no,Yes,na,3/15/17 21:28,3/15/17 21:31
"Kansas City, Kansas",Associates,Ortho,Medium,4,6 weeks,4-Jan,13.00/hr,12-Hour,Day Shift,,Per-Diem,,Yes,,3/15/17 21:52,3/15/17 21:56
"Wichita, KS",Bachelors,Intensive Care,Low,6,6 weeks,1:1 to 1:2 depending on acuity,$31.25 ,12-Hour,Day Shift,,Full-Time,"ACLS, ABLS, TNCC, IABP, NIH",Yes,,3/15/17 21:59,3/15/17 22:09
"Olathe, KS ",Bachelors,Cardiac Telemetry ,High,7.5 months ,16 weeks ,"Can be as high as 6 or 7, but usually each nurse gets 4 or 5",$26.04/hr (extra $3/hr since I work night shift. My base pay is $23.04/hr),12-Hour,Night Shift,,Full-Time,"ACLS certified, able to read heart rhythms ",Yes,,3/15/17 22:02,3/15/17 22:11
"Kansas city, mo",Bachelors,Tele,Medium,2,12 weeke,6-May,"50,000- weekends",12-Hour,Night Shift,,Part-Time,,Yes,Website,3/15/17 22:08,3/15/17 22:11
"Overland Park, KS",Bachelors,ER,Low,5,12 weeks,3,27,12-Hour,Night Shift,,Part-Time,"Pccn, tncc, ebola response team, sane",Yes,Nurseskc,3/15/17 22:09,3/15/17 22:13
"Kansas city, mo",Bachelors,LDRP,Medium,11,3 weeks,1-4 to 1,$30.25/hr,12-Hour,Night Shift,,Full-Time,,Yes,NURSES KC,3/15/17 22:14,3/15/17 22:19
"Wichita, ks",Associates,Nursing,Medium,5,1 week,25-30,"$62,000/year",,Day Shift,,Full-Time,None,Yes,Fb,3/15/17 22:18,3/15/17 22:22
"Overland Park, KS",Bachelors,ICU,Medium,3,12 weeks. More if needed. ,1:2 or 1:1 depending on acuity,$1500 every 2 weeks,12-Hour,Day Shift,,Full-Time,"TNCC, ECMO, ",Yes,KC Nurses Facebook page,3/15/17 22:16,3/15/17 22:22
"Wichita, KS",Bachelors,BirthCare Center,Low,27,8 weeks,"Labor 1:1, PP 1:3-4",$32/hr,12-Hour,Day Shift,,Full-Time,"Relief Team Leader, RN Scrub Nurse for C-sections, High Risk OB experience ",Yes,Fellow nurse posted on facebook,3/15/17 22:06,3/15/17 22:24
San Diego ,Associates,Vascular access,High,4,4 months,8,56,12-Hour,Day Shift,,Full-Time,CCRN ,No,Friends,3/15/17 22:24,3/15/17 22:28
San Diego,Associates,ICU,Medium,15,1 month,2-Jan,48,12-Hour,Day Shift,,Full-Time,Ccrn,No,friends,3/15/17 22:29,3/15/17 22:32
Independence Missouri,Associates,PCU ,Medium,6,12 weeks ,4:01,$1100/week,12-Hour,Night Shift,,Full-Time,PCCN,Yes,FB ,3/15/17 22:50,3/15/17 22:55
Kansas City Missouri,Bachelors,Psychiatric,Low,1,10 weeks,1:33,26,8-Hour,Mid Shift,,Full-Time,No,Yes,Facebook,3/15/17 23:07,3/15/17 23:11
"Amsterdam, MO",Bachelors,CCU,Medium,3,8 weeks,3:1 or 2:1 depending on acuity,$24/hour,12-Hour,Day Shift,,Full-Time,"STEMI RN, ICU cross trained",Yes,KC Nurses,3/15/17 23:12,3/15/17 23:17
"Kansas City, MO",Bachelors,NICU,Medium,3,16 weeks divided in 2 segments ,1:2-4 depending on acuity,$25.67 ,12-Hour,Night Shift,,Full-Time,Not yet!,Yes,Nurses KC communication ,3/15/17 23:31,3/15/17 23:41
Kansas City ,Bachelors,NICU,High,5,16 weeks,3-Jan,28.00/hr,12-Hour,Day Shift,,Full-Time,,Yes,Nurses KC,3/15/17 23:39,3/15/17 23:42
"Olathe, Kansas ",Bachelors,ED,Low,5,90 days,1-4 at a time/10-15 a shift,28.6,12-Hour,Night Shift,,Full-Time,,Yes,NursesKC,3/15/17 23:33,3/15/17 23:43
"Wichita, KS",Bachelors,Med-Surge ,Medium,4,6 weeks,1:06,$22/hr,12-Hour,,,Part-Time,Charge ,No,Facebook,3/15/17 23:42,3/15/17 23:47
"Kansas City, MO",Bachelors,Oncology,Low,30 years,3 months,4-5 nurses 35 to 45 patients,"73,000 year",8-Hour,Day Shift,,Full-Time,OCN,Yes,No,3/15/17 23:41,3/15/17 23:48
"Kansas City, mo ",Masters,Would rather not answer,Medium,7,6 weeks,1:01,50/HR ,10-Hour,Day Shift,,Full-Time,"Certifications, advanced degrees",Yes,Nurses KC,3/15/17 23:55,3/16/17 0:01
"Shawnee Mission, KS",Bachelors,Oncology,Medium,4,8 weeks,1:05,27.7,12-Hour,Day Shift,,Full-Time,Chemotherapy/Biotherapy certification from ONS,Yes,Facebook,3/15/17 23:59,3/16/17 0:05
Kansas City,Bachelors,Ambulatory Clinic,Medium,6,<90 days,8-13 but that's just 1 provider and we have up to 8 providers seeing patients in a day,26,10-Hour,Day Shift,,Full-Time,"CPN, Urodynamic studies",Yes,Nurses KC on Facebook,3/16/17 0:21,3/16/17 0:27
"Wichita, KS",Bachelors,Surgery (OR),Low,1,13 weeks,1:1 as a surgical circulator,25,8-Hour,,Flex (1030-1900),Full-Time,CVOR,Yes,Facebook share,3/16/17 0:31,3/16/17 0:36
Kansas City,Bachelors,Out patient cancer center,Medium,1,6 weeks,20-30,30/hour,8-Hour,Day Shift,,Full-Time,No,No,A friend added me,3/15/17 22:07,3/16/17 0:38
"Overland Park, KS",Bachelors,Labor and Delivery,Medium,9,12 weeks,"2:1 Labor, up to 4 antepartum, 1:1 C/section, unlimited triages",$35 for PRN,12-Hour,Day Shift,,Per-Diem,,Yes,A friend ,3/16/17 0:43,3/16/17 0:50
"Kansas City, MO",Bachelors,Labor and Delivery,Medium,6.5,6 months,1nurse - 1/2 pts depending on pt acuity,27.62,12-Hour,Day Shift,,Full-Time,"NRP, RNC-OB",Yes,Facebook ,3/16/17 1:12,3/16/17 1:18
"Kansaa city, ks",Masters,Transplant,Medium,1,3 months,4,$65000 year,8-Hour,Day Shift,,Full-Time,Certification,Yes,Nurses kc,3/16/17 1:15,3/16/17 1:19
Olathe ks,Associates,Allergy,High,13,"4,weeks",1:03,510/week,10-Hour,Day Shift,,Full-Time,None,No,Fb,3/16/17 1:28,3/16/17 1:32
"Lancaster, CA",Bachelors,Couplet Care,Low,4,None,1:3 Couplets (mother/baby,49.94,8-Hour,Day Shift,,Full-Time,"RNC-MNN, BSN, Certified Lactation Education/Counselor, Resolve Through Sharing educator, NRP instructor",Yes,Email from AWHONN leader,3/16/17 1:36,3/16/17 1:42
Merriam ks,Bachelors,Labor and delivery ,Medium,19,2 weeks,4:1 antepartum ,38.14,12-Hour,Day Shift,,Part-Time,Ob inpatient  rnc ,Yes,Kc nurse fb page,3/16/17 1:52,3/16/17 1:55
"Butte, montana",Masters,Surgical services,Low,5,2 months,12-Jan,31/hr,8-Hour,Day Shift,,Full-Time,Conscious sedation. Med-surg,Yes,Friend,3/16/17 2:17,3/16/17 2:20
"Overland Park, kansas",Bachelors,Care coordination,Low,31,6weeks,Na,"76,000/year",8-Hour,Day Shift,,Full-Time,Na,Yes,Coworker,3/16/17 2:17,3/16/17 2:23
"Shawnee mission, KS",Associates,Labor and delivery ,Medium,Less than 1,12 weeks,1:2-4,24/hour,12-Hour,Night Shift,,Full-Time,"NRP , PALS ",Yes,Nurses KC,3/16/17 2:27,3/16/17 2:34
"wichita,ks",Associates,Med Surg,High,2,10 weeks,1-May,$21/hr,12-Hour,Day Shift,,Per-Diem,,Yes,facebook,3/16/17 3:02,3/16/17 3:11
"Kansas City, mo",Bachelors,NICU,Low,2,3 months,"1:1, 2:1, 3:1",25.75/hr,12-Hour,Night Shift,,Full-Time,Nope,Yes,Facebook,3/16/17 3:36,3/16/17 3:39
"Overland Park, KS",Associates,Pediatrics,Low,22,2 months,30,27.25/hour,,Day Shift,,Part-Time,No,No,,3/16/17 3:40,3/16/17 3:46
Overland Pk KS,Masters,Med/Surg ,Low,15,,5/1 days and nights,40,12-Hour,Day Shift,,Full-Time,ONC NE-BC,Yes,,3/16/17 3:41,3/16/17 3:48
"Lees Summit, MO",Bachelors,PACU/PreOp,Low,10,4weekd,1:02,34.25/hr,8-Hour,Day Shift,,Full-Time,,Yes,FaceBook,3/16/17 3:47,3/16/17 3:52
"Kansas City, MO",Bachelors,School Nurse,Low,18,2 days,25/day,"57,500/yr",8-Hour,Day Shift,,Full-Time,N/A,Yes,KC Nurses Facebook page,3/16/17 3:54,3/16/17 4:01
"Wichita, Ks",Bachelors,Adult inpatient ,Medium,2.5,6 weeks ,8-Apr,22.50/hr,12-Hour,Night Shift,,Full-Time,,Yes,Facebook ,3/16/17 5:15,3/16/17 5:19
jalandhar punjab,Bachelors,labour room,Medium,3 yrs,4 yrs,20,1500/day,8-Hour,Night Shift,,Full-Time,no,Yes,through net,3/16/17 6:18,3/16/17 6:23
"Wichita, KS",Associates,Patient Placement,Low,12,6 Weeks,6,24,12-Hour,Day Shift,,Per-Diem,No,Yes,Social Media,3/16/17 6:35,3/16/17 6:40
"Wichita, KS",Associates,Medical intensive care,High,1.75,16 weeks,2:1 most of the time 3:1 frequent ,22.01,12-Hour,Night Shift,,Full-Time,,Yes,Facebook,3/16/17 6:53,3/16/17 6:56
"Wichita, Ks",Bachelors,"Lab,Surgery & LDR",Low,22 years,6 weeks +,LDR-one on one.   PP 3-6 Couplets(3 to 6 mother infants),$ 30 hr plus on call and overtime,12-Hour,Day Shift,,Part-Time,"Phlebotomist, Surgical Technologist, High Risk LDR",Yes,Facebook,3/16/17 7:03,3/16/17 7:23
"Bakersfield,ca",Associates,Palliative Care,Medium,5,8 weeks,Varies,$65/hr,8-Hour,Day Shift,,Part-Time,CHPN,Yes,Email,3/16/17 7:19,3/16/17 7:24
"Lee's Summit, MO ",Bachelors,Labor and delivery ,Low,7,12 weeks,"2,1 more as triage up to 12",26/hr,12-Hour,Night Shift,,Full-Time,Surgical tech and working on RNCOB,Yes,Facebook ,3/16/17 7:32,3/16/17 7:42
"Kansas city,  mo",Bachelors,,Medium,6,8wks,5,"27.7 plus night diff 4, 2 for weekends",12-Hour,Night Shift,,Full-Time,Cmsrn,Yes,,3/16/17 7:52,3/16/17 7:55
"Kansas City, mo",Bachelors,Float pool,High,13,5 mo for grad nurses,5-6 med/surg and 4-5 for tele,$34/hr,12-Hour,Day Shift,,Per-Diem,"Cmsrn, shared governance chair of a council. ",Yes,Fb nurse kc group,3/16/17 7:52,3/16/17 8:00
independence mo,Bachelors,mana,Low,1,2 days,6-May,"73,000,yr",,Day Shift,,Full-Time,No,No,face,3/16/17 8:01,3/16/17 8:15
"Wichita, KS",Associates,Emergency Department,High,4,10 weeks,1:03,$21/hr,10-Hour,Day Shift,,Part-Time,,No,Facebook,3/16/17 10:25,3/16/17 10:31
"Wichita, Ks",Associates,Pediatric sedationd and infusions,High,7,6 weeks,15-Sep,24,10-Hour,Day Shift,,Full-Time,"APHON,PALS,paramedic",Yes,Facebook,3/16/17 10:27,3/16/17 10:33
"Wichita, ks",Associates,"Medical Surgical, Trauma",High,17,6wks,1-Jun,"60,000/year",12-Hour,Night Shift,,Full-Time,"Experience, Case Manager Neurovascular/ Women's Health",No,Facebook,3/16/17 11:48,3/16/17 11:57
"Kansas City, mo",Bachelors,Lactation,Medium,17,6 weeks,14,35,8-Hour,Day Shift,,Part-Time,Ibclc - lactation consultant,Yes,Facebook,3/16/17 12:43,3/16/17 12:48
"Wichita, KS",Associates,Valve Clinic,Low,1 1/2,Continous,20,$27/hr,10-Hour,Day Shift,,Full-Time,Sedation Certification ,Yes,Facebook ,3/16/17 12:52,3/16/17 12:57
"Wichita, KS",Bachelors,Neonatal Intensive Care Unit,Low,1,15 weeks ,3-Jan,19.75/hr,12-Hour,Night Shift,,Full-Time,No,No,Facebook group ,3/16/17 13:22,3/16/17 13:26
"Valley center, ks",Associates,Nursing,Low,2,6 weeks,8 patients to 1 nurse and 2 aides,20.91,8-Hour,Day Shift,,Per-Diem,Not necessarily ,Yes,Facebook,3/16/17 13:51,3/16/17 13:55
"Independence, MO",Associates,Crisis,High,1,1 week,8,"52,000/ year",8-Hour,Day Shift,,Full-Time,Instructor (level one med aide),Yes,Facebook ,3/16/17 15:02,3/16/17 15:06
"Hutchinson, KS",Associates,Tele,High,4,12 weeks,6-May,22.45,12-Hour,Day Shift,,Part-Time,,Yes,Internet,3/16/17 15:10,3/16/17 15:14
Mission Kansas,Bachelors,Nursing ,Medium,2,10 shifts. All shifts and meds,1:30,26,12-Hour,Day Shift,,Full-Time,Na,Yes,KC nurses,3/16/17 15:42,3/16/17 15:44
"Kansas City,MO",Bachelors,Behavioral Health,High,4,Maybe 2-3 weeks if lucky,1:12 most days ,26/HR,12-Hour,Day Shift,,Full-Time,No,No,NursesKC,3/16/17 15:53,3/16/17 15:58
Long Beach,Bachelors,Mother-Baby,Medium,4,Seven weeks,1:08,45,12-Hour,Day Shift,,Full-Time,RNC-MNN,Yes,From AWOHNN LA chapter coordinator R. Cervantes,3/16/17 16:10,3/16/17 16:16
"Paola, Ks",Bachelors,Ground West,Low,3,10 weeks,3,27,12-Hour,Day Shift,,Full-Time,"Trained in wound vac and outpatient management, able to float to output clinic, partial completion of MSN",Yes,KC Nurses Facebook page,3/16/17 17:27,3/16/17 17:33
Wichita Kansas ,Associates,Health services,Low,23,2 days,800 kids and staff,"48,000/year",,Day Shift,,Full-Time,,Yes,,3/16/17 17:41,3/16/17 17:45
asfdsf,High School / GED,nursing,Low,1,1,1-Jan,11,,Day Shift,,Per-Diem,1,No,11,3/16/17 17:46,3/16/17 17:48
"Wichita, KS",Bachelors,Float,Low,4,8,5:01,$24/hr,12-Hour,Day Shift,,Full-Time,,Yes,,3/16/17 17:46,3/16/17 17:50
"Wichita, KS",Bachelors,Birth Care Center,Low,10,Not sure but at the end I was ready.,"1:1 during labor, 1:3 or 1:4 couplets postpartum",About 25$/hr,12-Hour,Day Shift,,Full-Time,Not at this time,Yes,Another nurse were I work posted a link on Facebook,3/16/17 17:29,3/16/17 18:45
"Kansas City, MO",Bachelors,Breast centers,Low,1,3 months ,12,34,8-Hour,Day Shift,,Full-Time,Chemo certified ,Yes,Nurses kc,3/16/17 19:04,3/16/17 19:07
